,Model,Dataset,AUC_shuffled,AUC_uniform,KL_uniform,KL_shuffled,KL_identical_nonfixations,Image_based_KL_divergence,NSS,cc,ssim
0,IttiKoch,mit1003,0.5408514500979104,0.5046901437490549,0.007239283193292008,,0.0,8.017419213736893,0.06755981764315414,0.010034838176843884,0.09527610518834753
1,IttiKoch,mit1003_onesize,0.5408514500979104,0.5046901437490549,0.007239283193292008,,0.0,8.017419213736893,0.06755981764315414,0.010034838176843884,0.09527610518834753
2,IttiKoch,sjtuvis,0.5086067312183669,0.44652972334714003,0.02568847335128384,,0.0,5.288847041070007,-0.20126035418345053,-0.11824074334927151,0.10112739002859483
3,IttiKoch,figrim,0.5286737857046367,0.5089143719512195,0.004543399823003545,,0.0,11.57785767324982,0.021780484108063644,-0.0031672521279133615,0.06583871410415684
4,IttiKoch,salicon_eval,0.5318897494512718,0.4983434284651866,0.011969499294136472,,0.0,8.176745019770062,0.14007576964010815,0.0036686591753341226,0.13416866277867034
5,IttiKoch,toronto,0.536127628592331,0.4872861354237288,0.007510142901967465,,0.0,6.922289871692598,0.04403642267363396,-0.005606604667912811,0.10893398399215197
6,IttiKoch,OSIE,0.5894763973886188,0.5542922455378678,0.0952896610532098,,0.0,6.970795993920928,0.5177923065308014,0.0929148568889133,0.13327456662339027
7,IttiKoch,PASCAL_S,0.5819593591705781,0.5517433324159562,0.03201850769728154,,0.0,14.650528613296256,0.2672178316513423,0.05630199482249314,0.1313542856861121
8,AIM,mit1003,0.6456897969433422,0.7607393835936613,0.44362681522833025,,0.0,1.242449158715111,0.7834203432621243,0.31976079078221287,0.3671199850953936
9,AIM,mit1003_onesize,0.6456897969433422,0.7607393835936613,0.44362681522833025,,0.0,1.242449158715111,0.7834203432621243,0.31976079078221287,0.3671199850953936
10,AIM,sjtuvis,0.5643956599252542,0.7260437013346354,0.3696106443201917,,0.0,0.7247206902792162,0.6583233785455481,0.36724214955738577,0.501219954436356
11,AIM,figrim,0.6221707891192446,0.8079894414634147,0.6524673312795428,,0.0,1.5885881390254402,0.9739142739162109,0.3309987083224205,0.2851561361082893
12,AIM,salicon_eval,0.6081681379929622,0.6824477836549152,0.23988102734208752,,0.0,0.32837717974885816,0.570979005519735,0.4881315280767198,0.6768490692094384
13,AIM,toronto,0.6623388561216644,0.7343106546001911,0.42885495312733335,,0.0,0.9924305227662111,0.7767817538562941,0.3330591840532232,0.42946747579965266
14,AIM,OSIE,0.7383096070954042,0.7834311897009165,0.6271901441489021,,0.0,1.3537460417644849,0.868759722929101,0.295704020835206,0.34844285295851063
15,AIM,PASCAL_S,0.6636021905735092,0.7860759990363644,0.7080618321091143,,0.0,1.1680705014683206,0.951280002088064,0.3619912616440157,0.380237712502002
16,SUN,mit1003,0.5409615497216222,0.6437823762334051,0.10592412064769836,,0.0,1.3613222809300223,0.5117820563682439,0.19482656297826267,0.3668545258966423
17,SUN,mit1003_onesize,0.5409615497216222,0.6437823762334051,0.10592412064769836,,0.0,1.3613222809300223,0.5117820563682439,0.19482656297826267,0.3668545258966423
18,SUN,sjtuvis,0.534657189857052,0.6163305179557489,0.1471280540076555,,0.0,0.8164174870650205,0.41853550265701095,0.24369118647788363,0.4955415246225261
19,SUN,figrim,0.6072700343850153,0.76508377398374,0.42142375952298144,,0.0,1.4858220046486748,1.032608973732667,0.3453852875733016,0.31599642217409457
20,SUN,salicon_eval,0.5664922130456284,0.5931203873785807,0.05185127104519759,,0.0,0.5272813727934458,0.3701183395273913,0.27603763822698124,0.6300527064488985
21,SUN,toronto,0.6322755543764488,0.6730586001459323,0.09695280854731454,,0.0,1.2867712664193192,0.7420646423238323,0.24271139395729696,0.4105475423089916
22,SUN,OSIE,0.6670405647511995,0.6816657011275928,0.17687467123935827,,0.0,1.486391010144777,0.7163025887120247,0.21596320432509836,0.34692652077134045
23,SUN,PASCAL_S,0.6075876413304344,0.6581303714105757,0.23178350148852195,,0.0,1.4161197577408042,0.6810503609374594,0.19182677229657408,0.3415926349874713
24,CovSal,mit1003,0.5422890770589445,0.8177704554359914,0.5990518271384049,,0.0,0.7611592958599966,1.4203158658086386,0.5891334589722775,0.5563804212193688
25,CovSal,mit1003_onesize,0.5422890770589445,0.8177704554359914,0.5990518271384049,,0.0,0.7611592958599966,1.4203158658086386,0.5891334589722775,0.5563804212193688
26,CovSal,sjtuvis,0.5147645404701148,0.7963080519874791,0.47884138947680793,,0.0,0.36316305067818355,1.2303877144155193,0.7834389644378772,0.7117091918584428
27,CovSal,figrim,0.5243464898315973,0.8609307455284554,0.9884474823999562,,0.0,0.8465546867470751,1.937117109245795,0.6536242328114801,0.527943181808832
28,CovSal,salicon_eval,0.5213389596531145,0.701560994287167,0.1722108970925912,,0.0,0.5356022663162151,0.7022288327317394,0.6070338246559068,0.6340985063731207
29,CovSal,toronto,0.5222632432281352,0.7976992271101654,0.4980776756637768,,0.0,0.6678083603937962,1.250950126498403,0.5800259482285639,0.581457728300686
30,CovSal,OSIE,0.5597988882677415,0.7994969051495417,0.4367827349093263,,0.0,1.047863355420882,1.1189718712815921,0.4095980627878668,0.449209962970043
31,CovSal,PASCAL_S,0.5382017390989728,0.887912214010939,1.1645375276991445,,0.0,0.462379178989874,2.1949424262793604,0.7592253913986384,0.6421861466395309
